commissioning_year,capacity_mw,plant_count
1896,2.0,1
1899,3.2,1
1900,88.94,6
1901,7.4,2
1902,23.5,4
1903,69.0,6
1904,11.6,4
1905,124.35,8
1906,64.9,8
1907,111.4,12
1908,140.5,9
1909,95.3,10
1910,254.5,11
1911,82.063,11
1912,218.024,18
1913,206.4,15
1914,1018.05,18
1915,246.0,12
1916,255.3,13
1917,176.4,15
1918,361.1,17
1919,3218.6,15
1920,196.73,17
1921,403.4,24
1922,259.7,20
1923,1951.82,33
1924,888.869,37
1925,974.3,47
1926,1626.66,28
1927,548.3,28
1928,811.608,36
1929,613.64,16
1930,2297.2,33
1931,718.9,23
1932,1032.4,19
1933,901.19,14
1934,2474.9,21
1935,843.4,15
1936,3155.604,18
1937,509.42,15
1938,764.86,19
1939,428.424,13
1940,2456.4,17
1941,1773.61,21
1942,3401.3,18
1943,4685.552,33
1944,1974.62,17
1945,452.5,12
1946,1753.1,16
1947,2291.87,25
1948,1809.34,27
1949,2711.03,41
1950,4418.3,42
1951,2280.44,45
1952,6639.61,36
1953,4176.0,46
1954,9392.752,56
1955,11569.48,65
1956,11323.542,51
1957,9858.25,67
1958,8575.72,71
1959,10115.2128,72
1960,16573.9,61
1961,13693.72,59
1962,12739.926,57
1963,14628.122,79
1964,15067.825,73
1965,22434.995,83
1966,21441.56,82
1967,31106.54,78
1968,27305.39,96
1969,26384.922,123
1970,34068.767,102
1971,32000.654,87
1972,50288.099,88
1973,59146.154,119
1974,51082.17,98
1975,33099.904,104
1976,38283.988,91
1977,37347.565,85
1978,33398.262,93
1979,54990.24,83
1980,50243.43,119
1981,35865.76,93
1982,35225.9964,116
1983,27522.45,124
1984,54679.1714,126
1985,46883.906,180
1986,54871.54,184
1987,37652.3,163
1988,41585.75117,175
1989,43600.72,180
1990,29484.819,160
1991,25838.686,141
1992,36273.162,150
1993,29223.53,163
1994,48640.545,169
1995,46536.57,162
1996,42420.785,164
1997,33031.768,128
1998,56343.598,181
1999,50131.1228,209
2000,97268.678,287
2001,96270.16732,344
2002,129561.439,363
2003,142568.58882,327
2004,108144.9997,332
2005,86213.3216,345
2006,130181.6862,408
2007,124084.534,387
2008,124129.40365,508
2009,124469.0734,564
2010,144145.951,554
2011,112834.6464,634
2012,131088.3112,736
2013,155304.54336,713
2014,124424.87138,821
2015,134970.08349,825
2016,135400.17754,883
2017,55249.49,752
2018,40147.1,639
2019,23186.1,585
2020,5596.0,142
